date,open,gap,hod,low,close,eodVolume,pmVolume,floatShares,marketCap,hodTime,lodTime,openPush,hodToClose,closedRed
6/4/2020,$4.40 ,233.33%,$6.00 ,$3.15 ,$3.50 ,"210,000,000","33,069,000","11,070,000","$48,708,000 ",9:46:00 AM,12:15:00 PM,36.36%,-41.67%,yes
6/5/2020,$1.90 ,108.79%,$1.95 ,$1.03 ,$1.10 ,"45,000,000","13,182,000","39,970,000","$75,943,000 ",10:18:00 AM,3:55:00 PM,2.63%,-43.59%,yes
6/8/2020,$2.33 ,83.46%,$2.85 ,$2.10 ,$2.47 ,"25,000,000","4,500,000","11,000,000","$25,630,000 ",10:36:00 AM,9:40:00 AM,22.32%,-13.33%,no
6/8/2020,$13.50 ,226.88%,$13.50 ,$5.90 ,$6.21 ,"21,000,000","2,165,000","3,670,000","$49,545,000 ",9:30:00 AM,1:41:00 PM,0.00%,-54.00%,yes
6/9/2020,$4.44 ,3.74%,$7.14 ,$4.65 ,$4.65 ,"12,000,000","80,000","6,980,000","$30,991,200 ",10:03:00 AM,10:16:00 AM,60.81%,-34.87%,no
6/9/2020,$2.28 ,10.68%,$2.58 ,$2.06 ,$2.23 ,"5,000,000","1,180,000","13,130,000","$29,936,400 ",9:40:00 AM,2:30:00 PM,13.00%,-13.57%,yes
6/9/2020,$10.47 ,323.89%,$28.99 ,$6.60 ,$20.19 ,"19,600,000","1,917,000","3,590,000","$37,587,300 ",3:16:00 PM,11:42:00 AM,176.89%,-30.36%,no
6/10/2020,$2.98 ,27.90%,$3.55 ,$2.07 ,$2.24 ,"5,000,000","698,000","3,890,000","$11,592,200 ",9:39:00 AM,3:29:00 PM,19.13%,-36.90%,yes
6/10/2020,$2.98 ,36.70%,$6.88 ,$2.83 ,$3.36 ,"25,000,000","1,040,000","2,480,000","$7,390,400 ",10:22:00 AM,3:19:00 PM,130.87%,-51.16%,no
6/10/2020,$1.14 ,60.56%,$1.15 ,$0.80 ,$0.89 ,"24,000,000","5,265,000","104,000,000","$118,560,000 ",9:32:00 AM,10:27:00 AM,0.88%,-22.61%,yes
6/10/2020,$2.19 ,78.05%,$3.59 ,$1.64 ,$1.75 ,"140,000,000","8,700,000","40,240,000","$88,125,600 ",12:17:00 PM,3:59:00 PM,63.93%,-51.25%,yes
6/10/2020,$4.86 ,242.25%,$6.55 ,$1.64 ,$2.97 ,"120,000,000","19,787,000","9,700,000","$47,142,000 ",10:02:00 AM,3:59:00 PM,34.77%,-54.66%,yes
6/10/2020,$12.12 ,310.85%,$30.00 ,$5.00 ,$6.09 ,"110,000,000","228,000","11,200,000","$135,744,000 ",11:15:00 AM,3:59:00 PM,147.52%,-79.70%,yes
6/11/2020,$1.75 ,96.63%,$2.38 ,$1.07 ,$1.15 ,"9,000,000","1,377,000","2,820,000","$4,935,000 ",9:40:00 AM,3:59:00 PM,36.00%,-51.68%,yes
6/11/2020,$2.84 ,219.10%,$3.22 ,$2.05 ,$2.24 ,"4,500,000","583,000","7,600,000","$21,584,000 ",9:38:00 AM,1:00:00 PM,13.38%,-30.43%,yes
